Timestamp,Username,Last Name,First Name,Full Name,"Are you available to interview students on Saturday, March 14, 2020",Track,Are you recruiting this year?,1st Most Similar Faculty Member,2nd Most Similar Faculty Member,3rd Most Similar Faculty Member,4th Most Similar Faculty Member,5th Most Similar Faculty Member,1st Choice Student,2nd Choice Student,3rd Choice Student,4th Choice Student,5th Choice Student,6th Choice Student,7th Choice Student,8th Choice Student,9th Choice Student,10th Choice Student
    ,     ,Arellano,Danish,ArellanoDanish,Yes,Biomedical Imaging,Maybe,,,,,,,,,,,,,,,
2020/02/26 10:10:14 AM AST,Julius_typo.Barnes@test.com,Barnes,Julius,BarnesJulius,Yes,Biomaterials,Maybe, , , , , ,"Rigby,Ashraf","Howell,Steven","Lambert,Griff","Peralta,Nayla", , , , , , 
2020/03/04 10:28:23 PM AST,Dolcie.Bowes@test.com,Bowes,Dolcie,BowesDolcie,Yes,Biomaterials,Maybe,"Mckenna,Caine","Neal,Bronte","Barnes,Julius","Harrington,Halle","Sanford,Kelis", , , , , , , , , , 
2020/02/25 6:11:36 PM AST,Najma.Browning@test.com,Browning,Najma,BrowningNajma,Yes,Neural Engineering,No,"Rooney,Saffa","Barnes,Julius","Dyer,Yaqub", , , , , , , , , , , , 
    ,    ,Buck,Hunter,BuckHunter,Yes,Neural Engineering,Maybe,,,,,,,,,,,,,,,
2020/02/26 2:28:17 PM AST,Felicity.Coates@test.com,Coates,Felicity,CoatesFelicity,Yes,Neural Engineering,No, , , , , , , , , , , , , , , 
2020/02/25 10:27:24 PM AST,Talha.Drummond@test.com,Drummond,Talha,DrummondTalha,Yes,Biomedical Imaging,Yes,"Webb,Chace","Moyer,Jeevan","Arellano,Danish","Lara,Wilfred","Meyer,Danyal", , , , , , , , , , 
2020/02/25 4:02:32 PM AST,Yaqub.Dyer@test.com,Dyer,Yaqub,DyerYaqub,Yes,Biomaterials,Maybe,"Barnes,Julius","Hinton,Colleen", , , ,"Cunningham,Reon", , , , , , , , , 
2020/02/25 6:45:23 PM AST,Ellie-Louise.Grainger@test.com,Grainger,Ellie-Louise,GraingerEllie-Louise,Yes,Biomedical Imaging,Yes,"Meyer,Danyal","Nguyen,Elsie-Mae","Drummond,Talha","Webb,Chace","John,Clay","Cunningham,Reon","Jeffery,Atlanta","Arellano,Maddison","Smart,Danny","Quintero,Shivam","Newman,Rishi", , , , 
2020/03/02 11:34:33 AM AST,Konnor.Greer@test.com,Greer,Konnor,GreerKonnor,Yes,Biomaterials,Yes,"Greer,Konnor","Sanford,Kelis","Neal,Bronte","Bowes,Dolcie", ,"Haas,Carlie","Pierce,Eliot","Moore,Dane","Colon,Maud","Beattie,Ewen","Hayes,Laibah","Kouma,Alfred","Sheldon,Alexandria","Hodson,Sheldon", 
2020/03/04 5:54:48 PM AST,Gerald.Handley@test.com,Handley,Gerald,HandleyGerald,Yes,Neural Engineering,Yes, , , , , , , , , , , , , , , 
2020/03/04 5:56:19 PM AST,Suhail.Harding@test.com,Harding,Suhail,HardingSuhail,Yes,Biomedical Imaging,Maybe, , , , , ,"Quintero,Shivam", , , , , , , , , 
2020/02/25 2:54:39 PM AST,Halle_typo.Harrington@test.com,Harrington,Halle,HarringtonHalle,Yes,Biomaterials,Maybe,"Bowes,Dolcie","Villarreal,Keri","Wharton,Lisa","Sanford,Kelis","Neal,Bronte","Sheldon,Alexandria","Devine,Kaylan","Hayes,Laibah","Rigby,Ashraf","Quintero,Shivam","Kouma,Alfred","Howell,Steven","Smart,Danny","Pace,Joanne",
2020/03/06 5:04:21 PM AST,Colleen.Hinton@test.com,Hinton,Colleen,HintonColleen,Yes,Biomaterials,No,"Dyer,Yaqub","Harrington,Halle","Bowes,Dolcie","Villarreal,Keri","Browning,Najma","Merrill,Ellena", , , , , , , , , 
2020/02/27 10:51:15 AM AST,Rebecca.Holman@test.com,Holman,Rebecca,HolmanRebecca,Yes,Biomaterials,No,"Coates,Felicity","Weaver,Forrest","Rooney,Saffa","Webb,Chace","John,Clay", , , , , , , , , , 
